Trial,Gender,Weight [kg],Height [cm],Speed [km/h],,,,,,,
1,F,69,169,8.5,,,,,,,
2,F,69,169,8.5,,,,,,,
3,F,69,169,5,,,,,,,
4,F,69,169,5,,,,,,,
5,M,80,176,4.5,,,,,,,
6,M,80,176,4.5,,,,,,,
7,M,80,176,8.5,,,,,,,
8,M,80,176,8.5,,,,,,,
9,M,80,176,8.5,,,,,,,
10,M,76,184,4.5,,,,,,,
11,M,76,184,4.5,,,,,,,
12,M,76,184,4.5,,,,,,,
13,M,76,184,8.5,,,,,,,
14,F,65,176,4.5,,,,,,,
15,F,65,176,8,,,,,,,
16,M,76,184,5,,,,,,,
17,M,60,180,5,,,,,,,
18,M,60,180,5,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,5